cluster_a,label_a,cluster_b,label_b,verdict,reasoning
6,Early Medieval Urbanism and Emporia,119,Geoarchaeology of Early Medieval Towns,distinct,"Cluster A focuses on broad urban development, trade networks, and material culture across Scandinavia and the Baltic, whereas Cluster B is exclusively dedicated to soil micromorphology and archaeopedological methods for analyzing specific town sites."
6,Early Medieval Urbanism and Emporia,123,Early Medieval Trade Centers and Economies,same,"Both clusters collectively focus on the emergence, material culture, and economic functions of early medieval urban centers, trade hubs, and central settlements across Scandinavia and Europe."
13,Sacral landscapes and ritual places,21,Ritual deposits and cognitive landscapes,same,"Both clusters focus on Viking Age and early medieval Scandinavian ritual practices involving specific locations, deposits, and cognitive interpretations of landscape, despite one cluster including extraneous Roman/Ravenna examples."
13,Late Roman and Early Christian Material Culture in Scandinavia,22,Weapon deposits and ritual landscapes,distinct,"Cluster A focuses on general religious landscapes, early Christian art, and late Roman treasures, while Cluster B is specifically dedicated to Viking Age weapon deposits, military history, and ritual deposition practices."
21,Viking Age Ritual Deposits and Cognitive Landscape Practices,22,Weapon deposits and ritual landscapes,same,"Both clusters predominantly feature titles analyzing Viking Age ritual deposits of weapons and metal objects within specific landscape contexts such as water edges, bridges, and central places."
21,Ritual Depositions as Cognitive Landscapes and Identity Formation,183,Ritual Animal Deposits and Osteology,distinct,"Cluster A focuses on metal deposits, hoards, and cognitive landscapes of human identity, while Cluster B is exclusively dedicated to animal osteology, skeletal pathology, and specific sacrificial animal remains."
22,"Weapon Typologies, Crossings, and Settlement Dynamics in Ritual Spaces",141,Ritual weapon deposition in watercourses,same,"Both clusters explicitly focus on Viking Age ritual practices involving weapon deposition in water environments and the associated landscape features like bridges, crossings, and assembly sites."
22,Viking Age Weapon Chronologies and Regional Settlement Landscapes,183,Ritual Animal Deposits and Osteology,distinct,"Cluster A focuses on weapon typologies, settlement landscapes, and ritual depositions of non-animal wealth, while Cluster B is exclusively dedicated to animal osteology, pathology, and biological analysis."
25,Women and Gender in Viking Age Society,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses on social history, gender roles, and literary analysis of women and men, whereas Cluster B exclusively covers archaeological artifacts, specifically brooches and metalworking techniques."
25,Women and Gender in Viking Age Society,139,Frisia in the Viking Age,distinct,"Cluster A focuses on gender roles and women's lives in Viking society, while Cluster B centers on the geography of Frisia and its political or material history during the Viking Age."
26,Mortuary practices and religious conversion,37,Viking Age Mortuary Practices and Religion,distinct,"While both clusters contain papers on Viking mortuary practices and religion, Cluster A includes unrelated titles regarding DNA analysis tools, 16th-century Mediterranean history, and general theoretical history, whereas Cluster B contains specific works on Maya isotopic studies and drama origins that are not present in Cluster A."
26,Mortuary practices and religious conversion,100,Religious Conversion and Cultural Identity in Medieval Scandinavia,distinct,"Cluster A contains unrelated titles on DNA analysis tools and Philip II's Mediterranean world alongside burial studies, while Cluster B focuses on urban design, papal marriage dispensations, and postcolonial theory, indicating they do not form a single coherent theme."
26,Mortuary practices and religious conversion,171,Burial as a barometer of religious conversion,same,Both clusters are dominated by titles explicitly linking Viking Age or early medieval Scandinavian burial practices and material culture to the process of Christian conversion.
27,Viking Age mortuary rituals and memory,37,Viking Age Mortuary Practices and Religion,distinct,"While Cluster A focuses on mortuary rituals and memory in Scandinavia, Cluster B contains a significant outlier regarding the Classic Maya period at Copán that is unrelated to the Scandinavian Viking Age theme."
27,Viking Age mortuary rituals and memory,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses exclusively on burial practices, commemoration, and religious transformation, whereas Cluster B is dominated by specific material culture studies of brooches, metalworking production, and settlement chronology."
27,Viking Age mortuary rituals and memory,139,Frisia in the Viking Age,distinct,"Cluster A focuses exclusively on mortuary rituals, burial practices, and commemoration across Scandinavia and Britain, whereas Cluster B centers on the specific political and geographical history of Frisia with only tangential references to Viking finds."
29,Viking Diaspora and Political Economy,88,Viking diaspora and identity,distinct,"Cluster A focuses on macro-level political economy and migration mechanisms, while Cluster B centers on specific archaeological case studies of material culture and local social identity."
35,Viking Age Iconography and Picture Stones,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses exclusively on pictorial art, iconography, and literary interpretations of picture stones, whereas Cluster B is dedicated to the material culture, production, and chronology of metal artifacts like brooches and garnitures."
35,Viking Age Iconography and Picture Stones,139,Frisia in the Viking Age,distinct,Cluster A focuses on Gotlandic picture stones and Norse iconography while Cluster B centers on Frisian geography and Carolingian-era finds in the Low Countries.
35,Viking Age Iconography and Picture Stones,198,Gotlandic Picture Stones and Iconography,distinct,"While both clusters discuss Viking art and Gotlandic stones, Cluster A is broadly focused on iconography, oral culture, and religious transition across Scandinavia including non-stone artifacts like bracteates, whereas Cluster B specifically targets the chronological assessment of picture stones, runic inscriptions, and Anglo-Saxon ornamentation."
37,Viking Age Mortuary Practices and Religion,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses on broad mortuary behavior, religious practices, and social status across various sites, whereas Cluster B is specifically dedicated to the typology, production, and ritual use of metal brooches and craft centers."
37,Viking Age Mortuary Practices and Religion,136,Viking Age Burial Practices and Social Identity,same,"Both clusters center on Viking Age mortuary behavior, burial customs, and their connection to social status or identity in Scandinavia."
37,Regional Chronologies of Scandinavian Funerary Archaeology,139,Frisia in the Viking Age,distinct,Cluster A focuses on Scandinavian funerary practices and regional chronologies while Cluster B centers on Frisia and its interactions with Frankish and Anglo-Saxon regions.
41,Childhood and Socialization in the North Atlantic,51,North Atlantic Environmental Humanities,distinct,"Cluster A focuses on social history, specifically childhood, gender, and burial practices in the North Atlantic, while Cluster B is dedicated to environmental science, climate records, and agricultural adaptation in the same region."
44,Viking Age warrior graves and ritual specialists,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses on warrior graves and ritual specialists while Cluster B concentrates on brooches and metalworking production, indicating they address fundamentally different archaeological subjects."
44,Viking Age warrior graves and ritual specialists,139,Frisia in the Viking Age,distinct,"Cluster A focuses on warrior graves and ritual specialists in Scandinavia using archaeological analysis of specific sites like Birka, while Cluster B centers on Frisia's political status, coinage, and settlements within the Frankish-Viking context."
54,Norse-Eskimo contact and Greenland settlement,120,Norse settlement decline and climate change in Greenland,same,"Both clusters contain multiple titles specifically addressing Norse interactions with indigenous populations and environmental factors in Greenland, indicating they represent a single coherent research theme that was split across batches."
63,Social Identity and Coastal Societies in the North Sea Region,99,Social Constructionism and Identity in Archaeology,distinct,"Cluster A focuses on specific historical and archaeological topics like coastal societies, material culture, and settlements during the Viking Age, whereas Cluster B centers on abstract theoretical debates regarding social constructionism, identity theory, and methodological critiques in archaeology."
75,Isotopic Dietary Studies of Viking Age Populations,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses exclusively on isotopic dietary analysis and burial customs of human populations, whereas Cluster B centers on material culture such as brooches, metalworking production, and chronology of artifacts."
75,Isotopic Dietary Studies of Viking Age Populations,139,Frisia in the Viking Age,distinct,"Cluster A focuses exclusively on isotopic dietary analysis of skeletal remains in Denmark, while Cluster B centers on the political and archaeological history of Frisia and its interactions with Frankish and Viking powers."
88,Viking diaspora and identity,136,Bioarchaeological Indicators of Social Status in Mortuary Contexts,distinct,"Cluster A focuses on broad cultural identity, migration, and material culture across settlements, while Cluster B is narrowly dedicated to specific mortuary practices, dental modifications, and grave goods as indicators of social status."
91,Boathouses and Political Organization,109,Assembly Sites and Political Organization,distinct,"Cluster A focuses specifically on boathouses and ethnic settlement patterns in Arctic Norway, while Cluster B centers on assembly sites, royal centers, and political governance across a broader European context."
95,Viking Age House Architecture and Excavations,131,Viking Age Brooches and Metalworking,distinct,"Cluster A focuses on domestic architecture and excavation reports of buildings, while Cluster B centers on metal artifacts like brooches and craft production sites."
95,Viking Age House Architecture and Excavations,139,Frisia in the Viking Age,distinct,"Cluster A focuses exclusively on Scandinavian domestic architecture and excavation reports, while Cluster B centers on Frisian political history, regional geography, and specific artifact finds outside the scope of house typology."
99,Social Constructionism and Identity in Archaeology,136,Bioarchaeological Indicators of Social Status in Mortuary Contexts,distinct,"Cluster A focuses on theoretical debates regarding social constructionism and identity in archaeology, while Cluster B centers on specific bioarchaeological evidence like dental modifications and burial practices to infer social status."
100,Religious Conversion and Cultural Identity in Medieval Scandinavia,171,Socio-Cultural Landscapes and Sacred Space in Viking Age Iceland,same,"Both clusters center on the intersection of religious conversion and cultural identity in medieval Scandinavia, with Cluster A focusing on broader ideological frameworks like postcolonialism and daily resistance while Cluster B provides specific archaeological evidence from Iceland regarding burial practices, sacred spaces, and feasting halls."
119,Geoarchaeology of Early Medieval Towns,123,Religious Economies and Monastic Trade Networks in Carolingian Europe,distinct,"Cluster A focuses exclusively on physical soil science and urban stratigraphy of specific trading towns, while Cluster B centers on religious institutions, economic ideologies, and monastic systems across a broader geographical scope."
128,Settlement Archaeology and House Chronology,134,Icelandic Settlement Archaeology and Economy,distinct,"Cluster A focuses on general settlement archaeology, house chronology, and temporal concepts across Scandinavia, while Cluster B is specifically dedicated to Icelandic turf buildings, textile trade, and local sagas."
131,Viking Age Brooches and Metalworking,136,Bioarchaeological Indicators of Social Status in Mortuary Contexts,distinct,"Cluster A focuses on material culture and production techniques like brooches and metalworking, whereas Cluster B centers on human remains, dental modifications, and social status indicators within burial contexts."
131,Viking Age Brooches and Metalworking,139,Frisia in the Viking Age,distinct,"Cluster A focuses on Scandinavian metalworking and brooches across regions like Denmark and Sweden, while Cluster B centers specifically on Frisia and its political or material culture within a Frankish context."
131,Viking Age Brooches and Metalworking,142,Non-Ferrous Metalworking in Viking Towns,same,"Both clusters focus on the production, analysis, and distribution of non-ferrous metal artifacts and metalworking activities across Viking Age Scandinavia and its immediate cultural sphere."
131,Ritual and Chronological Analysis of Scandinavian Brooches,148,Viking Age Settlements in Orkney and Shetland,distinct,"Cluster A focuses on brooches, metalwork chronology, and specific Danish/Swedish sites, while Cluster B centers exclusively on archaeological excavations and settlements in Orkney and Shetland."
131,Ritual and Chronological Analysis of Scandinavian Brooches,167,Viking Age Trade and Material Culture,distinct,"Cluster A focuses specifically on the typology, chronology, and ritual function of brooches and metalwork at specific sites, whereas Cluster B addresses broader themes of trade networks, import circulation, and general material culture including amulets and reliquaries."
131,Ritual and Chronological Analysis of Scandinavian Brooches,182,Viking Age Trade in the Eastern Baltic,distinct,"Cluster A focuses on the typology, chronology, and ritual function of brooches and coastal sites in Denmark and Sweden, whereas Cluster B exclusively addresses trade networks, population links, and material culture across the broader Eastern Baltic region including Estonia, Finland, and Latvia."
136,Bioarchaeological Indicators of Social Status in Mortuary Contexts,139,Frisia in the Viking Age,distinct,"Cluster A focuses on general bioarchaeological methods and mortuary practices across various regions including Roman Britain and Germany, while Cluster B is specifically dedicated to Frisia and its political or material history during the Viking and Carolingian periods."
139,Frisia in the Viking Age,148,Viking Age Settlements in Orkney and Shetland,distinct,"Cluster A focuses on Frisia and the Low Countries with specific references to Dutch sites and Frankish relations, while Cluster B centers exclusively on Orkney and Shetland archaeology in Scotland."
139,Frisia in the Viking Age,167,Viking Age Trade and Material Culture,same,"Both clusters are dominated by titles focusing on specific archaeological findings, metalwork, and settlement patterns within Frisia and adjacent regions during the Viking Age, indicating they represent a single cohesive research theme of material culture in that geographic area."
139,Carolingian Frisian Archaeology and Settlement,182,Viking Age Trade in the Eastern Baltic,distinct,"Cluster A focuses on Frisia and the Low Countries with Carolingian and Anglo-Saxon contexts, while Cluster B exclusively covers the Eastern Baltic region including Estonia, Latvia, Finland, and Novgorod."
158,Isotope and Genetic Analysis of Human Mobility,190,Theories and Models of Human Mobility,same,Both clusters contain multiple titles explicitly linking isotope analysis and genetic data to the study of human mobility patterns in ancient Scandinavian contexts.
167,Scandinavian Metalwork and Religious Artifacts,182,Viking Age Trade in the Eastern Baltic,distinct,"Cluster A focuses on specific metal artifacts, religious items, and Anglo-Saxon/Danish contexts, whereas Cluster B exclusively addresses broader trade networks, population movements, and settlement patterns within the Eastern Baltic region."
