community_id,label,description,secondary_label,secondary_description,unaccounted_titles,groups_json,titles_missing_from_groups,secondary_group_size
273,Agrarian technology and land use,"This cluster is organized around the axis of farming systems, agricultural tools, and land management practices across the Scandinavian region from the Viking Age through the early modern period. The titles collectively examine specific technologies like querns and fladbrød ovens, historical land-use patterns such as Ødegård (abandoned farms), and the conceptualization of the sea as agricultural space.",,,Scandinavian Archaeological Practice - in Theory | The Cultural Landscape During 6000 Years in Southern Sweden -the Ystad Project,"[{""theme"": ""Agrarian technology and land use in Scandinavian landscapes c. 800-1300 AD"", ""titles"": [""Agrarian technology and land use in Scandinavian landscapes c. 800-1300 AD"", ""Ødegårdstid i norge. det nordiske ødegårdsprosjekts norske undersøkelser"", ""The Sea as 'innmark' And 'utmark"", ""Norske landbruksredskaper 1800-1850-årene"", ""Var middelalderens lendmannsgårder kjerner i eldre godssamlinger?"", ""Lerslätterna och sta(d)-namnen. om relationen mellan äldra järnåderens lerslättboplatser och stad-namn i mälardalen"", ""I Hardanger er Qvernberg og Helleberg… og Hellerne, det er tyndhugne Steene, bruger man til at bage det tynde Brød Fladbrød på…\"" Viking Bind XLVII -1983"", ""The Nature of Farming Systems and Views of Their Change""]}, {""theme"": ""Archaeological theory and methodology"", ""titles"": [""Scandinavian Archaeological Practice - in Theory"", ""The Cultural Landscape During 6000 Years in Southern Sweden -the Ystad Project""]}]",,2
14,Paleoclimate Reconstruction Methodologies,"This cluster is organized around the development, application, and validation of methods for reconstructing past climate conditions using proxy data like tree rings. The titles collectively address statistical algorithms, model comparisons, and the attribution of climate variability over the last two millennia.",,,,"[{""theme"": ""Paleoclimate Reconstruction Methodologies and Climate Variability Analysis"", ""titles"": [""Last millennium Northern Hemisphere summer temperatures from tree rings: Part II, spatially resolved reconstructions"", ""Distinguishing the Roles of Natural and Anthropogenically Forced Decadal Climate Variability"", ""Detection and Attribution of Climate Change: A Regional Perspective"", ""On Discriminating Between Gcm Forcing Configurations Using Bayesian Reconstructions of Late-Holocene Temperatures"", ""Enhancing the Relevance of Palaeoclimate Model/data Comparisons for Assessments of Future Climate Change"", ""Reconstructing Earth's Surface Temperature over the past 2000 Years: The Science Behind the Headlines"", ""Testing the Robustness of a Precipitation proxy-Based North Atlantic Oscillation Reconstruction"", ""A bayesian algorithm for reconstructing climate anomalies in space and time. part i: development and applications to paleoclimate reconstruction problems"", ""Tropical Pacific and Northern Hemisphere Influences on the Coherence of Pacific Decadal Oscillation Reconstructions"", ""Dendroclimatic Reconstruction with Time Varying Predictor Subsets of Tree Indices""]}]",Testing the Robustness of a Precipitation Proxy-Based North Atlantic Oscillation Reconstruction,0
66,Medieval Climate and Icelandic Society,"The cluster combines studies on medieval European climate variations derived from narrative sources with research into early Icelandic society, economy, and literature. It bridges environmental history with the specific social dynamics of Iceland during the Viking and High Middle Ages.",Medieval Icelandic Literature and Social History,A second group of 5 titles shares this theme.,,"[{""theme"": ""Medieval Climate History and Environmental Humanities"", ""titles"": [""Medieval Iceland, Greenland, and the New Human Condition: A case study in integrated environmental humanities"", ""Le climat en europe au moyen age, contribution à l'histoire des variations climatiques de 1000 à 1425, d'après les sources narratives de l"", ""European Summer Temperatures Since Roman Times"", ""Climate over past Millennia"", ""Le Climat au Moyen Age en Belgique et dans les régions voisines""]}, {""theme"": ""Medieval Icelandic Literature and Social History"", ""titles"": [""The King's Mirror (Speculum Regale-Konungs Skuggsjá)"", ""Íslendinga saga I Þjóðveldisöldin"", ""Bjarnfeldir í máldögum"", ""Íslandsskógar (Iceland's Forests)"", ""Of Sagas and Sheep: Toward a Historical Anthropology of Social Change and Production for Market, Subsistence and Tribute in Early Iceland (10th to the 13th Century)""]}]",,5
84,Archaeological Stratigraphy and Excavation Methodologies,"This group focuses on the technical and theoretical frameworks for archaeological excavation, specifically emphasizing stratigraphic recording, high-definition archaeology, and geoarchaeological analysis. The titles cover classification systems, specific analytical techniques like XRF, and case studies of urban excavations.",,,,"[{""theme"": ""Archaeological Stratigraphy, Excavation Methods, and Geoarchaeology"", ""titles"": [""Single Context, Metacontext, and High Definition Archaeology: Integrating New Standards of Stratigraphic Excavation and Recording"", ""A Handbook of Geoarchaeological Approaches for Investigating Landscapes and Settlement Sites: Studying Scientific Archaeology"", ""Micro-XRF Analysis of Crucible Fragments from ASR 7 Sct Nicolajgade"", ""Guide to Archaeostratigraphic Classification and Terminology: Definitions and Principles"", ""Vorbemerkungen zu den archäologischen Beiträgen, in Das Handwerk in vor-und frühgeschichtlicher Zeit. Teil II: Archäologische und philologische Beiträge"", ""The Development of Early Medieval and Later Poultry and Cheapside: Excavations at 1 Poultry and Vicinity, City of London"", ""Viking-age metals and urbanisation: the case of Ribe in Denmark, in Urban Network Evolutions. Towards a high-definition archaeology"", ""Excavation and Post-Excavation Methods and Practices"", ""Redoximorphic Features"", ""Spatiotemporal Data as the Foundation of an Archaeological Stratigraphy Extraction and Management System""]}]",,0
282,Theoretical Perspectives on Archaeology and Heritage,"The cluster centers on theoretical discussions regarding archaeological practice, including the concept of the Anthropocene, the nature of cultural heritage, and postmodern narrative theory. It also includes specific studies on Mesolithic settlements and prehistoric sites that inform these broader theoretical questions.",,,,"[{""theme"": ""Archaeology of the Anthropocene, Heritage Theory, and Prehistory"", ""titles"": [""The archaeology of ice. Finds from the Frozen Past. Exhibition in Historical Museum"", ""The Authentic Illusion. Humanity's Intangible Cultural Heritage, the Moroccan Experience"", ""The World Without Us"", ""Affaldsdynger fra Steenalderen i Danmark undersøgte for Nationalmuseet"", ""Norwegian Archaeology and the People Without (pre-) History. or How to Create a Myth of a Uniform Past"", ""The Mesolithic Settlement of Northern Europe"", ""Den långa stubinen. miljarder människor -miljoner år"", ""Narrative Persistence. the Postmodern Life of Narrative Theory"", ""Archaeologists should grapple with the Anthropocene too. Archaeolog"", ""Down to earth. Nature, agency, and power in history""]}]",,0
42,Gotlandic Picture Stones and Norse Iconography,"This cluster is dominated by research into the iconography of Gotlandic picture stones, often utilizing new imaging technologies like RTI to reinterpret mythological scenes. The group also includes related studies on Eddic poetry, gold bracteates, and Anglo-Scandinavian sculpture that share a focus on Norse mythology and visual culture.",,,,"[{""theme"": ""Gotlandic Picture Stones and Norse Iconography"", ""titles"": [""Re-interpretations of Gotlandic picture stones based on the reflectance transformation imaging method (RTI): Some examples"", ""Der göttliche Schiffsbegleiter mit dem 'Hörnerhelm'. Ein bislang unbekanntes wikingerzeitliches Bildsteinfragment aus St. Valle im Kirchspiel Rute auf Gotland"", ""Kommentar zu den Liedern der Edda 6: Heldenlieder. Brot af Sigurðarkviðo, Guðrúnarkviða I, Sigurðarkviða in skamma, Helreið Brynhildar, Dráp Niflunga, Guðrúnarkviða II, Guðrúnarkviða III, Oddrúnargrátr, Strophenbruchstücke aus der Vǫlsunga saga"", ""The Volsung Legend in Medieval Art"", ""Die gotländischen Bildsteine: Ein Programm. Göppinger Arbeiten zur Germanistik 588"", ""Altuppsalas Polytheismus exemplarisch erhellt mit Bildzeugnissen des 5.-7. Jahrhunderts: Zur Ikonologie der Goldbrakteaten LIII"", ""Gods and Settlers: The Iconography of Norse Mythology in Anglo-Scandinavian Sculpture"", ""Möglichkeiten der Neulesung gotländischer Bildsteine und ihre ikonographische Auswertung: Ausgewählte Beispiele und Perspektiven""]}]",Med hjärta och hjärna: En vänbok till professor Elisabeth Arwill-Nordbladh | Medieval Art and Architecture in the East Riding of Yorkshire. The British Archaeological Association. Conference Transactions for the year,0
48,"Childhood, Gender, and Social Identity in the Viking Age","The primary focus is on the social construction of childhood, gender roles (particularly masculinity), and enculturation within Viking Age Scandinavia, often drawing on anthropological and psychological theories. While it includes general works on childhood development and trauma, these are used to frame the specific analysis of Viking social dynamics.",Psychological Theory and Developmental Studies,A second group of 3 titles shares this theme.,,"[{""theme"": ""Childhood, Gender, and Social Identity in the Viking Age"", ""titles"": [""Playing Vikings: Militarism, hegemonic masculinities, and childhood enculturation in Viking Age Scandinavia"", ""Leadworking in Viking Age Norway"", ""Salt and the Earliest Scandinavian Raids in France: Was There a Connection?"", ""Children and society"", ""Examining the Effect of Childhood Trauma on Psychological Distress, Risk of Violence and Engagement, in Forensic Mental Health"", ""Childhood: Anthropological Aspects"", ""Children and Their Childhoods: Retrospectives and Prospectives""]}, {""theme"": ""Psychological Theory and Developmental Studies"", ""titles"": [""Making connections: the relational worlds of adolescent girls at Emma Willard School"", ""In a Different Voice: Psychological Theory and Women's Development"", ""Saltwater Slavery: A Middle Passage from Africa to American Diaspora""]}]",,3
99,"Viking Age Migration, Trade, and Settlement Dynamics","This cluster is organized around the movement of people and goods during the Viking Age, utilizing methods like isotope analysis to trace migration and diet. It covers specific sites like L'Anse aux Meadows and the Isle of Lewis, as well as broader themes of diaspora, trade networks (cod), and territorial expansion.",Medieval Historical Chronicles and Transnationalism,A second group of 3 titles shares this theme.,,"[{""theme"": ""Viking Age Migration, Trade, and Settlement Dynamics"", ""titles"": [""Rounding up the usual suspects: Causation and the Viking Age diaspora"", ""Detecting the Medieval Cod Trade: A New Method and First Results"", ""L'Anse aux Meadows and Vinland: an abandoned experiment"", ""Chieftains' graves and chiefdom territories in south norway in the migration period"", ""Making a living in the Middle Ages"", ""Immigrants on the Isle of Lewis: Combining Traditional Funerary and Modern Isotope Evidence to Investigate Social Differentiation, Migration, and Dietary Change in the Outer Hebrides of Scotland"", ""Viking Raids on Irish Church Settlements in the Ninth Century. a Reconsideration of the Annals""]}, {""theme"": ""Medieval Historical Chronicles and Transnationalism"", ""titles"": [""The Annals of St-Bertin, Ninth-Century Histories 1, 2nd edn"", ""Carolingian Chronicles"", ""Transnationalism and Migration: Locating Sociocultural Practices Among Mexican Immigrants in the United States""]}]",,3
145,Urban Archaeology and Chronology of Medieval Towns,"The cluster focuses on the archaeological investigation and chronological development of medieval towns, with a strong emphasis on Danish sites like Odense and Viborg. It includes studies on pottery chronology, harbor developments, and the transition from settlement to bishopric cities.",,,,"[{""theme"": ""Urban Archaeology and Chronology of Medieval Danish Towns"", ""titles"": [""Odense som møntsted i den sene vikingetid"", ""Søvejene til Odense, isaer den nuvaerende med stadigt Henblik på denne Bys Skibsfart og Handel"", ""Viborg Søndesø 1000-1300. Byarkaeologiske undersøgelser 1981 og 1984-85. Viborg Stiftsmuseums skriftraekke bind 2"", ""Handbuch zur mittelalterlichen Keramik in Nordeuropa"", ""Hovedproblemer i romersk og germansk jernalders kronologi i skandinavien og på kontinentet"", ""Medieval Dublin Excavations 1962-81. Miscellanea I. Dublin, s"", ""Datering af tre brønde fra det aeldste Odense"", ""Fra boplads til bispeby. Odense til 1559. Odense Bys Historie bind 1. Odense: Odense Kommune"", ""A New Chronology of the Viking Age Re-Analysis of the Archaeological Material"", ""Stormandpraestkonge""]}]",,0
277,"Runes, Inscriptions, and Religious Conversion in Scandinavia","This group is dedicated to the study of runic inscriptions, their linguistic evolution (runsvenska), and their role in documenting the Christianization of Scandinavia. It also touches upon the stylistic development of Urnes art and broader questions of literacy and religious change.",Anthropology of Reading and Writing Systems,A second group of 3 titles shares this theme.,,"[{""theme"": ""Runes, Inscriptions, and Religious Conversion in Scandinavia"", ""titles"": [""Re-Reading Embodied Texts: An Interpretation of Rune-Stones"", ""Runstenarnas maria. en studie av kristendomens översättning till runsvenska"", ""Medeltida skrift-och språ I-kultur. Nio föreläsningar fiån ett syn&posiun& i Stockholm vå&ren 1992"", ""Urnesgruppen. Det siste avsnit av vikingetidens stilutvikling. Aa&sbe&. etning fi.a Foreningen til norske Fo& tidsn&i ndesrnerkers Bevaring"", ""Runsvenska namnstudier. Stockholm Studies in Scandinavian Philology, New Series 13"", ""Den nordisla religionen och kristendon&en. studie&' över det nordisl a &eligionsskiftet under vikingatiden. nordiska texter och undersökningar 11"", ""Ölands &aminskrifter 1-2, granskade och tolkade av Söderberg, S. & Brate, E. Sveriges runinskrifter 1""]}, {""theme"": ""Anthropology of Reading and Writing Systems"", ""titles"": [""The Domestication of the Savage Mind"", ""Phrasikleia. An anthropology of reading in ancient Greece"", ""Communication and Display; the Integration of Early Egyptian Art and Writing""]}]",,3
