community_id,run_id,model,temperature,seed,label,description,stable
101,1,qwen3.5:35b,0.3,1,"Origins, Expansion, and Settlement Dynamics","This cluster is organized around the specific historical axis of the Viking Age's emergence, the mechanisms of its sea-borne expansion, and the subsequent establishment of settlements in regions like England, Scotland, and Ireland. The titles collectively address the triggers for the diaspora, the nature of the expansion itself, and the resulting societal changes in new territories.",False
101,2,qwen3.5:35b,0.3,2,"Origins, Causation, and Expansion of the Viking Age","This cluster is organized around the theoretical and historical debate concerning the triggers, causes, and mechanisms of Viking expansion, rather than specific artifacts or sites. The titles collectively address the 'why' and 'how' of the Viking Age emergence, ranging from causal analysis and migration theories to the specific processes of settlement and sea-borne expansion.",False
101,3,qwen3.5:35b,0.7,1,"Origins, triggers, and expansion of the Viking Age","This cluster organizes around the specific theoretical and historical debate concerning the causes, timing, and mechanisms of the Viking Age's emergence and subsequent maritime expansion. The titles collectively focus on identifying 'reasons and triggers,' analyzing 'causation,' and mapping the 'settlement' and 'sea-borne expansion' rather than specific artifact types or isolated regional case studies.",False
101,4,qwen3.5:35b,0.7,2,"Origins, Settlement, and Expansion Dynamics","This cluster is organized around the specific historical axis of how and why the Viking Age began, focusing on the causal triggers, migration patterns, and the subsequent expansion and settlement processes across Northern Europe and the British Isles.",False
101,5,qwen3:8b,0.3,1,Christianization and Conversion,"The cluster centers on the transition from pagan to Christian practices during the Viking Age, particularly in regions like Orkney and Shetland. Titles explore the interplay between Christian and pagan practices, the social context of conversion, and its impact on Viking Age societies.",False
101,6,qwen3:8b,0.3,2,Christianization and Conversion,"The cluster centers on the axis of Christianization and conversion during the Viking Age, with titles exploring the transition from pagan to Christian practices, particularly in regions like Orkney and Shetland. It includes discussions of religious practices, societal changes, and the interaction between Christian and pagan elements during this transformative period.",False
101,7,qwen3:8b,0.7,1,Christianization and Conversion,"The cluster centers on the transition from pagan to Christian practices during the Viking Age, particularly in regions like Orkney and Shetland. Titles explore the interplay between Christian and pagan practices, the social context of conversion, and its impact on Viking Age societies.",False
101,8,qwen3:8b,0.7,2,Christianization and Conversion,"The cluster focuses on the process of Christianization during the Viking Age, particularly in regions like Orkney and Shetland, and examines the interaction between Christian and pagan practices. Titles explore how this transition influenced societal structures, religious practices, and the broader cultural landscape of the period.",False
14,1,qwen3.5:35b,0.3,1,Last Millennium Climate Forcing Reconstructions,"The dominant axis organizing this cluster is the quantitative reconstruction of Northern Hemisphere surface temperatures and climate variability over the last 1,000 to 2,000 years, specifically focusing on the attribution of these changes to natural forcings like volcanic eruptions and solar variability versus anthropogenic factors.",True
14,2,qwen3.5:35b,0.3,2,Last Millennium Climate Forcing and Reconstruction,"The dominant axis organizing this cluster is the quantitative reconstruction of Northern Hemisphere surface temperatures and the attribution of climate variability to specific natural forcings (volcanic, solar) and anthropogenic factors over the last 1,500 to 2,000 years. The titles collectively focus on methodological comparisons of proxy data, model simulations, and the separation of forced signals from chaotic variability, rather than on archaeological or historical artifacts.",True
14,3,qwen3.5:35b,0.7,1,Last Millennium Climate Forcing Reconstructions,"The dominant axis organizing this cluster is the quantitative reconstruction of past climate variability over the last 1,000–2,000 years, specifically focusing on the attribution of temperature changes to natural forcings like volcanic eruptions and solar variability. The titles collectively represent methodological efforts to separate natural climate signals from anthropogenic influences and chaotic variability using proxy data and model comparisons.",True
14,4,qwen3.5:35b,0.7,2,Last Millennium Climate Forcing and Reconstruction,"The dominant axis organizing this cluster is the quantitative reconstruction of Northern Hemisphere surface temperatures and the attribution of climate variability to specific natural forcings (volcanic, solar, and greenhouse gases) over the last 1,500 to 2,000 years. The titles collectively focus on separating natural climate variability from anthropogenic signals and validating these reconstructions against paleoclimate proxy data, rather than on archaeological or historical analysis of the Viking Age itself.",True
